Dividend,Election deadline,Scrip Calculation Price,Date New Ordinary Shares issued
First Quarter,12 September 2025,181.8,8 October 2025
Fourth Quarter,13 June 2025,200.3,9 July 2025
Third Quarter,21 March 2025,177.3,11 April 2025
Second Quarter,20 December 2024,185.8,13 January 2025
First Quarter,13 September 2024,201.6,8 October 2024
Fourth Quarter,28 June 2024,194.8,22 JulyÂ 2024
Third Quarter,15 March 2024,184.7,8 April 2024
Second Quarter,15 December 2023,185.4,11 January 2024
First Quarter,15 September 2023,176.4,9 October 2023
Fourth Quarter,16 June 2023,186.6,12 July 2023
Third Quarter,24 March 2023,176.5,12 April 2023
Second Quarter,16 December 2022,180.3,10 January 2023
First Quarter,16 September 2022,205.4,7 October 2022
Fourth Quarter,24 June 2022,237.9,13 July 2022
Third Quarter,25 March 2022,262.5,12 April 2022
Second Quarter,10 December 2021,272.7,7 January 2022
First Quarter,17 September 2021,259.0,8 October 2021
Fourth quarter,25 June 2021,235.7,13 July 2021
Third quarter,26 March 2021,212.4,15 April 2021
Second quarter,11 December 2020,221.8,8 January 2021
First Quarter,17 September 2020,235.5,7 October 2020
Fourth quarter,3 July 2020,219.0,22 July 2020
Third quarter,27 March 2020,159.2,16 April 2020
Second quarter,20 December 2019,232.1,10 January 2020
First quarter,18 September 2019,205.3,7 October 2019
Fourth quarter,21 June 2019,206.8,11 July 2019
Third quarter,29 March 2019,194.1,17 April 2019
Second quarter,21 December 2018,176.9,10 January 2019
First quarter,18 September 2018,182.7,5 October 2018
Fourth quarter,25 June 2018,189.8,11 July 2018
Third quarter,3 April 2018,178.1,19 April 2018
Second quarter,22 December 2017,175.5,10 January 2018
First quarter,15 September 2017,165.9,6 October 2017
Fourth quarter,23 June 2017,167.6,10 July 2017
Third quarter,31 March 2017,153.8,18 April 2017
Second quarter,23 December 2016,145.5,11 January 2017
First quarter,22 September 2016,164.6,7 October 2016
